mes,dias_al_mes,anio,fecha,Qingresa_m3ps
7,31,1966,7/31/1966,8.40
8,31,1966,8/31/1966,4.50
9,30,1966,9/30/1966,4.60
10,31,1966,10/31/1966,5.50
11,30,1966,11/30/1966,32.90
12,31,1966,12/31/1966,24.20
1,31,1967,1/31/1967,27.90
2,28,1967,2/28/1967,31.60
3,31,1967,3/31/1967,28.30
4,30,1967,4/30/1967,34.10
5,31,1967,5/31/1967,10.00
6,30,1967,6/30/1967,6.80
7,31,1967,7/31/1967,4.50
8,31,1967,8/31/1967,3.60
9,30,1967,9/30/1967,13.50
10,31,1967,10/31/1967,36.20
11,30,1967,11/30/1967,65.20
12,31,1967,12/31/1967,24.20
1,31,1968,1/31/1968,26.70
2,28,1968,2/28/1968,35.60
3,31,1968,3/31/1968,35.80
4,30,1968,4/30/1968,15.70
5,31,1968,5/31/1968,6.70
6,30,1968,6/30/1968,13.60
7,31,1968,7/31/1968,6.80
8,31,1968,8/31/1968,8.30
9,30,1968,9/30/1968,3.70
10,31,1968,10/31/1968,2.90
11,30,1968,11/30/1968,13.10
12,31,1968,12/31/1968,21.20
1,31,1969,1/31/1969,29.35
2,28,1969,2/28/1969,12.90
3,31,1969,3/31/1969,22.10
4,30,1969,4/30/1969,8.20
5,31,1969,5/31/1969,7.60
6,30,1969,6/30/1969,7.30
7,31,1969,7/31/1969,4.00
8,31,1969,8/31/1969,7.70
9,30,1969,9/30/1969,7.70
10,31,1969,10/31/1969,5.30
11,30,1969,11/30/1969,7.80
12,31,1969,12/31/1969,39.60
1,31,1970,1/31/1970,60.80
2,28,1970,2/28/1970,35.90
3,31,1970,3/31/1970,46.50
4,30,1970,4/30/1970,9.00
5,31,1970,5/31/1970,5.50
6,30,1970,6/30/1970,2.60
7,31,1970,7/31/1970,3.60
8,31,1970,8/31/1970,4.10
9,30,1970,9/30/1970,7.70
10,31,1970,10/31/1970,3.90
11,30,1970,11/30/1970,9.10
12,31,1970,12/31/1970,13.10
1,31,1971,1/31/1971,65.40
2,28,1971,2/28/1971,29.70
3,31,1971,3/31/1971,33.70
4,30,1971,4/30/1971,23.20
5,31,1971,5/31/1971,5.90
6,30,1971,6/30/1971,5.20
7,31,1971,7/31/1971,4.50
8,31,1971,8/31/1971,3.30
9,30,1971,9/30/1971,3.20
10,31,1971,10/31/1971,5.90
11,30,1971,11/30/1971,2.10
12,31,1971,12/31/1971,9.30
1,31,1972,1/31/1972,15.80
2,28,1972,2/28/1972,35.60
3,31,1972,3/31/1972,29.20
4,30,1972,4/30/1972,15.70
5,31,1972,5/31/1972,9.30
6,30,1972,6/30/1972,5.00
7,31,1972,7/31/1972,3.20
8,31,1972,8/31/1972,3.50
9,30,1972,9/30/1972,10.70
10,31,1972,10/31/1972,6.40
11,30,1972,11/30/1972,44.30
12,31,1972,12/31/1972,71.90
1,31,1973,1/31/1973,54.40
2,28,1973,2/28/1973,21.70
3,31,1973,3/31/1973,121.40
4,30,1973,4/30/1973,55.40
5,31,1973,5/31/1973,20.70
6,30,1973,6/30/1973,16.20
7,31,1973,7/31/1973,10.70
8,31,1973,8/31/1973,6.50
9,30,1973,9/30/1973,5.70
10,31,1973,10/31/1973,5.10
11,30,1973,11/30/1973,11.10
12,31,1973,12/31/1973,31.20
1,31,1974,1/31/1974,20.70
2,28,1974,2/28/1974,43.60
3,31,1974,3/31/1974,37.30
4,30,1974,4/30/1974,13.00
5,31,1974,5/31/1974,11.20
6,30,1974,6/30/1974,11.00
7,31,1974,7/31/1974,7.10
8,31,1974,8/31/1974,6.50
9,30,1974,9/30/1974,5.40
10,31,1974,10/31/1974,27.20
11,30,1974,11/30/1974,11.80
12,31,1974,12/31/1974,46.40
1,31,1975,1/31/1975,46.30
2,28,1975,2/28/1975,65.20
3,31,1975,3/31/1975,90.00
4,30,1975,4/30/1975,23.40
5,31,1975,5/31/1975,12.40
6,30,1975,6/30/1975,7.70
7,31,1975,7/31/1975,6.30
8,31,1975,8/31/1975,11.50
9,30,1975,9/30/1975,9.70
10,31,1975,10/31/1975,6.70
11,30,1975,11/30/1975,21.50
12,31,1975,12/31/1975,9.40
1,31,1976,1/31/1976,8.50
2,28,1976,2/28/1976,47.90
3,31,1976,3/31/1976,20.30
4,30,1976,4/30/1976,10.60
5,31,1976,5/31/1976,6.70
6,30,1976,6/30/1976,6.10
7,31,1976,7/31/1976,3.40
8,31,1976,8/31/1976,8.20
9,30,1976,9/30/1976,8.10
10,31,1976,10/31/1976,18.00
11,30,1976,11/30/1976,64.30
12,31,1976,12/31/1976,51.80
1,31,1977,1/31/1977,53.70
2,28,1977,2/28/1977,81.60
3,31,1977,3/31/1977,18.80
4,30,1977,4/30/1977,26.80
5,31,1977,5/31/1977,13.10
6,30,1977,6/30/1977,7.60
7,31,1977,7/31/1977,6.10
8,31,1977,8/31/1977,5.90
9,30,1977,9/30/1977,17.00
10,31,1977,10/31/1977,13.30
11,30,1977,11/30/1977,22.40
12,31,1977,12/31/1977,59.30
1,31,1978,1/31/1978,126.19
2,28,1978,2/28/1978,81.51
3,31,1978,3/31/1978,76.30
4,30,1978,4/30/1978,42.50
5,31,1978,5/31/1978,16.40
6,30,1978,6/30/1978,11.20
7,31,1978,7/31/1978,7.80
8,31,1978,8/31/1978,5.60
9,30,1978,9/30/1978,33.50
10,31,1978,10/31/1978,29.50
11,30,1978,11/30/1978,27.70
12,31,1978,12/31/1978,62.20
1,31,1979,1/31/1979,209.20
2,28,1979,2/28/1979,210.40
3,31,1979,3/31/1979,44.00
4,30,1979,4/30/1979,71.10
5,31,1979,5/31/1979,21.10
6,30,1979,6/30/1979,12.70
7,31,1979,7/31/1979,22.50
8,31,1979,8/31/1979,11.20
9,30,1979,9/30/1979,12.00
10,31,1979,10/31/1979,15.20
11,30,1979,11/30/1979,39.70
12,31,1979,12/31/1979,95.30
1,31,1980,1/31/1980,33.70
2,28,1980,2/28/1980,58.90
3,31,1980,3/31/1980,58.50
4,30,1980,4/30/1980,98.40
5,31,1980,5/31/1980,23.70
6,30,1980,6/30/1980,13.50
7,31,1980,7/31/1980,7.00
8,31,1980,8/31/1980,5.90
9,30,1980,9/30/1980,4.71
10,31,1980,10/31/1980,11.31
11,30,1980,11/30/1980,26.41
12,31,1980,12/31/1980,54.81
1,31,1981,1/31/1981,29.01
2,28,1981,2/28/1981,100.33
3,31,1981,3/31/1981,45.30
4,30,1981,4/30/1981,83.40
5,31,1981,5/31/1981,34.40
6,30,1981,6/30/1981,30.20
7,31,1981,7/31/1981,34.10
8,31,1981,8/31/1981,30.10
9,30,1981,9/30/1981,28.31
10,31,1981,10/31/1981,29.00
11,30,1981,11/30/1981,21.20
12,31,1981,12/31/1981,22.90
1,31,1982,1/31/1982,29.70
2,28,1982,2/28/1982,15.40
3,31,1982,3/31/1982,17.00
4,30,1982,4/30/1982,27.70
5,31,1982,5/31/1982,15.70
6,30,1982,6/30/1982,15.60
7,31,1982,7/31/1982,15.70
8,31,1982,8/31/1982,16.50
9,30,1982,9/30/1982,19.20
10,31,1982,10/31/1982,29.80
11,30,1982,11/30/1982,23.90
12,31,1982,12/31/1982,26.60
1,31,1983,1/31/1983,83.10
2,28,1983,2/28/1983,101.10
3,31,1983,3/31/1983,27.00
4,30,1983,4/30/1983,9.50
5,31,1983,5/31/1983,11.00
6,30,1983,6/30/1983,7.00
7,31,1983,7/31/1983,5.00
8,31,1983,8/31/1983,5.30
9,30,1983,9/30/1983,9.50
10,31,1983,10/31/1983,16.00
11,30,1983,11/30/1983,35.60
12,31,1983,12/31/1983,47.50
1,31,1984,1/31/1984,31.38
2,28,1984,2/28/1984,21.38
3,31,1984,3/31/1984,23.77
4,30,1984,4/30/1984,22.11
5,31,1984,5/31/1984,23.16
6,30,1984,6/30/1984,17.36
7,31,1984,7/31/1984,15.37
8,31,1984,8/31/1984,15.05
9,30,1984,9/30/1984,15.34
10,31,1984,10/31/1984,22.28
11,30,1984,11/30/1984,37.48
12,31,1984,12/31/1984,42.87
1,31,1985,1/31/1985,32.64
2,28,1985,2/28/1985,22.86
3,31,1985,3/31/1985,24.10
4,30,1985,4/30/1985,12.18
5,31,1985,5/31/1985,10.62
6,30,1985,6/30/1985,12.16
7,31,1985,7/31/1985,12.28
8,31,1985,8/31/1985,14.85
9,30,1985,9/30/1985,19.92
10,31,1985,10/31/1985,27.58
11,30,1985,11/30/1985,47.86
12,31,1985,12/31/1985,45.14
1,31,1986,1/31/1986,32.09
2,28,1986,2/28/1986,22.52
3,31,1986,3/31/1986,23.88
4,30,1986,4/30/1986,16.31
5,31,1986,5/31/1986,13.72
6,30,1986,6/30/1986,7.67
7,31,1986,7/31/1986,7.21
8,31,1986,8/31/1986,9.48
9,30,1986,9/30/1986,7.80
10,31,1986,10/31/1986,19.48
11,30,1986,11/30/1986,44.23
12,31,1986,12/31/1986,38.36
1,31,1987,1/31/1987,30.02
2,28,1987,2/28/1987,21.17
3,31,1987,3/31/1987,24.53
4,30,1987,4/30/1987,19.48
5,31,1987,5/31/1987,23.74
6,30,1987,6/30/1987,22.72
7,31,1987,7/31/1987,20.04
8,31,1987,8/31/1987,14.23
9,30,1987,9/30/1987,13.11
10,31,1987,10/31/1987,17.10
11,30,1987,11/30/1987,37.32
12,31,1987,12/31/1987,34.13
1,31,1988,1/31/1988,20.38
2,28,1988,2/28/1988,14.19
3,31,1988,3/31/1988,24.48
4,30,1988,4/30/1988,22.75
5,31,1988,5/31/1988,23.84
6,30,1988,6/30/1988,15.17
7,31,1988,7/31/1988,17.96
8,31,1988,8/31/1988,19.43
9,30,1988,9/30/1988,17.55
10,31,1988,10/31/1988,18.83
11,30,1988,11/30/1988,32.32
12,31,1988,12/31/1988,31.08
1,31,1989,1/31/1989,14.94
2,28,1989,2/28/1989,6.81
3,31,1989,3/31/1989,4.71
4,30,1989,4/30/1989,6.86
5,31,1989,5/31/1989,11.78
6,30,1989,6/30/1989,11.57
7,31,1989,7/31/1989,13.03
8,31,1989,8/31/1989,12.94
9,30,1989,9/30/1989,5.45
10,31,1989,10/31/1989,11.42
11,30,1989,11/30/1989,32.10
12,31,1989,12/31/1989,7.84
1,31,1990,1/31/1990,29.77
2,28,1990,2/28/1990,33.28
3,31,1990,3/31/1990,24.43
4,30,1990,4/30/1990,23.07
5,31,1990,5/31/1990,20.32
6,30,1990,6/30/1990,10.69
7,31,1990,7/31/1990,12.16
8,31,1990,8/31/1990,15.36
9,30,1990,9/30/1990,10.63
10,31,1990,10/31/1990,12.68
11,30,1990,11/30/1990,30.18
12,31,1990,12/31/1990,41.43
1,31,1991,1/31/1991,36.66
2,28,1991,2/28/1991,36.46
3,31,1991,3/31/1991,24.48
4,30,1991,4/30/1991,23.23
5,31,1991,5/31/1991,23.91
6,30,1991,6/30/1991,22.54
7,31,1991,7/31/1991,22.72
8,31,1991,8/31/1991,15.84
9,30,1991,9/30/1991,15.21
10,31,1991,10/31/1991,10.99
11,30,1991,11/30/1991,24.28
12,31,1991,12/31/1991,79.08
1,31,1992,1/31/1992,23.88
2,29,1992,2/29/1992,20.77
3,31,1992,3/31/1992,24.39
4,30,1992,4/30/1992,23.03
5,31,1992,5/31/1992,24.60
6,30,1992,6/30/1992,22.92
7,31,1992,7/31/1992,23.37
8,31,1992,8/31/1992,20.63
9,30,1992,9/30/1992,17.43
10,31,1992,10/31/1992,12.54
11,30,1992,11/30/1992,67.67
12,31,1992,12/31/1992,47.99
1,31,1993,1/31/1993,23.77
2,28,1993,2/28/1993,19.55
3,31,1993,3/31/1993,20.97
4,30,1993,4/30/1993,18.46
5,31,1993,5/31/1993,22.04
6,30,1993,6/30/1993,18.02
7,31,1993,7/31/1993,8.03
8,31,1993,8/31/1993,16.33
9,30,1993,9/30/1993,2.97
10,31,1993,10/31/1993,23.02
11,30,1993,11/30/1993,67.91
12,31,1993,12/31/1993,32.93
1,31,1994,1/31/1994,24.47
2,28,1994,2/28/1994,21.09
3,31,1994,3/31/1994,26.12
4,30,1994,4/30/1994,24.38
5,31,1994,5/31/1994,25.46
6,30,1994,6/30/1994,21.51
7,31,1994,7/31/1994,11.56
8,31,1994,8/31/1994,12.64
9,30,1994,9/30/1994,15.26
10,31,1994,10/31/1994,28.14
11,30,1994,11/30/1994,18.77
12,31,1994,12/31/1994,46.64
1,31,1995,1/31/1995,78.11
2,28,1995,2/28/1995,26.16
3,31,1995,3/31/1995,26.46
4,30,1995,4/30/1995,7.30
5,31,1995,5/31/1995,14.48
6,30,1995,6/30/1995,4.90
7,31,1995,7/31/1995,4.04
8,31,1995,8/31/1995,4.29
9,30,1995,9/30/1995,6.08
10,31,1995,10/31/1995,12.34
11,30,1995,11/30/1995,61.06
12,31,1995,12/31/1995,38.97
1,31,1996,1/31/1996,42.84
2,29,1996,2/29/1996,100.78
3,31,1996,3/31/1996,61.58
4,30,1996,4/30/1996,72.63
5,31,1996,5/31/1996,20.36
6,30,1996,6/30/1996,8.38
7,31,1996,7/31/1996,15.83
8,31,1996,8/31/1996,5.16
9,30,1996,9/30/1996,5.48
10,31,1996,10/31/1996,3.01
11,30,1996,11/30/1996,8.03
12,31,1996,12/31/1996,24.06
1,31,1997,1/31/1997,49.11
2,28,1997,2/28/1997,18.68
3,31,1997,3/31/1997,32.35
4,30,1997,4/30/1997,29.94
5,31,1997,5/31/1997,5.40
6,30,1997,6/30/1997,4.63
7,31,1997,7/31/1997,2.89
8,31,1997,8/31/1997,3.50
9,30,1997,9/30/1997,2.66
10,31,1997,10/31/1997,7.26
11,30,1997,11/30/1997,28.85
12,31,1997,12/31/1997,113.96
1,31,1998,1/31/1998,52.19
2,28,1998,2/28/1998,71.95
3,31,1998,3/31/1998,68.52
4,30,1998,4/30/1998,34.33
5,31,1998,5/31/1998,40.86
6,30,1998,6/30/1998,27.44
7,31,1998,7/31/1998,13.86
8,31,1998,8/31/1998,9.70
9,30,1998,9/30/1998,8.44
10,31,1998,10/31/1998,7.67
11,30,1998,11/30/1998,57.46
12,31,1998,12/31/1998,83.46
1,31,1999,1/31/1999,45.64
2,28,1999,2/28/1999,24.30
3,31,1999,3/31/1999,65.07
4,30,1999,4/30/1999,71.51
5,31,1999,5/31/1999,39.04
6,30,1999,6/30/1999,24.39
7,31,1999,7/31/1999,10.15
8,31,1999,8/31/1999,7.24
9,30,1999,9/30/1999,10.84
10,31,1999,10/31/1999,9.71
11,30,1999,11/30/1999,136.79
12,31,1999,12/31/1999,91.08
1,31,2000,1/31/2000,97.08
2,29,2000,2/29/2000,67.10
3,31,2000,3/31/2000,119.98
4,30,2000,4/30/2000,72.88
5,31,2000,5/31/2000,43.18
6,30,2000,6/30/2000,15.72
7,31,2000,7/31/2000,11.45
8,31,2000,8/31/2000,32.36
9,30,2000,9/30/2000,10.72
10,31,2000,10/31/2000,11.73
11,30,2000,11/30/2000,23.68
12,31,2000,12/31/2000,42.54
1,31,2001,1/31/2001,76.08
2,28,2001,2/28/2001,29.92
3,31,2001,3/31/2001,61.65
4,30,2001,4/30/2001,80.96
5,31,2001,5/31/2001,21.90
6,30,2001,6/30/2001,14.56
7,31,2001,7/31/2001,11.78
8,31,2001,8/31/2001,8.80
9,30,2001,9/30/2001,20.44
10,31,2001,10/31/2001,74.96
11,30,2001,11/30/2001,35.70
12,31,2001,12/31/2001,22.80
1,31,2002,1/31/2002,40.81
2,28,2002,2/28/2002,23.77
3,31,2002,3/31/2002,25.16
4,30,2002,4/30/2002,19.13
5,31,2002,5/31/2002,6.78
6,30,2002,6/30/2002,7.59
7,31,2002,7/31/2002,12.50
8,31,2002,8/31/2002,6.76
9,30,2002,9/30/2002,7.05
10,31,2002,10/31/2002,8.02
11,30,2002,11/30/2002,40.39
12,31,2002,12/31/2002,5.94
1,31,2003,1/31/2003,35.26
2,28,2003,2/28/2003,39.49
3,31,2003,3/31/2003,30.69
4,30,2003,4/30/2003,33.59
5,31,2003,5/31/2003,17.41
6,30,2003,6/30/2003,10.25
7,31,2003,7/31/2003,8.35
8,31,2003,8/31/2003,26.51
9,30,2003,9/30/2003,3.09
10,31,2003,10/31/2003,1.41
11,30,2003,11/30/2003,2.02
12,31,2003,12/31/2003,11.23
1,31,2004,1/31/2004,3.33
2,29,2004,2/29/2004,16.33
3,31,2004,3/31/2004,26.04
4,30,2004,4/30/2004,50.37
5,31,2004,5/31/2004,37.97
6,30,2004,6/30/2004,13.72
7,31,2004,7/31/2004,8.43
8,31,2004,8/31/2004,6.19
9,30,2004,9/30/2004,2.86
10,31,2004,10/31/2004,6.36
11,30,2004,11/30/2004,14.83
12,31,2004,12/31/2004,44.91
1,31,2005,1/31/2005,57.81
2,28,2005,2/28/2005,34.84
3,31,2005,3/31/2005,28.31
4,30,2005,4/30/2005,22.81
5,31,2005,5/31/2005,7.58
6,30,2005,6/30/2005,7.08
7,31,2005,7/31/2005,15.14
8,31,2005,8/31/2005,2.79
9,30,2005,9/30/2005,2.09
10,31,2005,10/31/2005,3.80
11,30,2005,11/30/2005,17.35
12,31,2005,12/31/2005,18.72
1,31,2006,1/31/2006,12.91
2,28,2006,2/28/2006,78.10
3,31,2006,3/31/2006,29.35
4,30,2006,4/30/2006,26.69
5,31,2006,5/31/2006,25.98
6,30,2006,6/30/2006,8.49
7,31,2006,7/31/2006,5.08
8,31,2006,8/31/2006,3.17
9,30,2006,9/30/2006,1.06
10,31,2006,10/31/2006,1.84
11,30,2006,11/30/2006,14.23
12,31,2006,12/31/2006,38.96
1,31,2007,1/31/2007,70.32
2,28,2007,2/28/2007,31.23
3,31,2007,3/31/2007,38.34
4,30,2007,4/30/2007,21.83
5,31,2007,5/31/2007,41.72
6,30,2007,6/30/2007,4.93
7,31,2007,7/31/2007,5.86
8,31,2007,8/31/2007,3.51
9,30,2007,9/30/2007,4.62
10,31,2007,10/31/2007,5.03
11,30,2007,11/30/2007,6.51
12,31,2007,12/31/2007,4.67
1,31,2008,1/31/2008,42.27
2,28,2008,2/28/2008,71.96
3,31,2008,3/31/2008,35.40
4,30,2008,4/30/2008,20.20
5,31,2008,5/31/2008,13.29
6,30,2008,6/30/2008,26.47
7,31,2008,7/31/2008,7.23
8,31,2008,8/31/2008,0.84
9,30,2008,9/30/2008,4.66
10,31,2008,10/31/2008,3.03
11,30,2008,11/30/2008,24.67
12,31,2008,12/31/2008,29.16
1,31,2009,1/31/2009,57.88
2,28,2009,2/28/2009,30.11
3,31,2009,3/31/2009,28.48
4,30,2009,4/30/2009,7.38
5,31,2009,5/31/2009,5.69
6,30,2009,6/30/2009,4.69
7,31,2009,7/31/2009,3.39
8,31,2009,8/31/2009,3.75
9,30,2009,9/30/2009,1.95
10,31,2009,10/31/2009,1.48
11,30,2009,11/30/2009,34.18
12,31,2009,12/31/2009,15.47
1,31,2010,1/31/2010,9.34
2,28,2010,2/28/2010,44.33
3,31,2010,3/31/2010,64.70
4,30,2010,4/30/2010,24.51
5,31,2010,5/31/2010,24.24
6,30,2010,6/30/2010,19.96
7,31,2010,7/31/2010,12.19
8,31,2010,8/31/2010,6.34
9,30,2010,9/30/2010,8.22
10,31,2010,10/31/2010,6.42
11,30,2010,11/30/2010,12.10
12,31,2010,12/31/2010,25.41
1,31,2011,1/31/2011,36.82
2,28,2011,2/28/2011,44.59
3,31,2011,3/31/2011,33.46
4,30,2011,4/30/2011,9.35
5,31,2011,5/31/2011,4.65
6,30,2011,6/30/2011,7.30
7,31,2011,7/31/2011,8.72
8,31,2011,8/31/2011,2.51
9,30,2011,9/30/2011,3.24
10,31,2011,10/31/2011,5.73
11,30,2011,11/30/2011,6.56
12,31,2011,12/31/2011,14.14
1,31,2012,1/31/2012,14.92
2,28,2012,2/28/2012,61.58
3,31,2012,3/31/2012,45.72
4,30,2012,4/30/2012,14.21
5,31,2012,5/31/2012,11.71
6,30,2012,6/30/2012,9.93
7,31,2012,7/31/2012,7.27
8,31,2012,8/31/2012,8.09
9,30,2012,9/30/2012,21.16
10,31,2012,10/31/2012,44.12
11,30,2012,11/30/2012,36.86
12,31,2012,12/31/2012,26.72
1,31,2013,1/31/2013,21.75
2,28,2013,2/28/2013,21.41
3,31,2013,3/31/2013,33.84
4,30,2013,4/30/2013,31.45
5,31,2013,5/31/2013,10.68
6,30,2013,6/30/2013,4.41
7,31,2013,7/31/2013,15.03
8,31,2013,8/31/2013,7.42
9,30,2013,9/30/2013,6.27
10,31,2013,10/31/2013,23.25
11,30,2013,11/30/2013,25.75
12,31,2013,12/31/2013,14.14
1,31,2014,1/31/2014,29.67
2,28,2014,2/28/2014,227.22
3,31,2014,3/31/2014,159.31
4,30,2014,4/30/2014,70.14
5,31,2014,5/31/2014,23.52
6,30,2014,6/30/2014,17.15
7,31,2014,7/31/2014,14.32
8,31,2014,8/31/2014,3.53
9,30,2014,9/30/2014,4.84
10,31,2014,10/31/2014,18.81
11,30,2014,11/30/2014,5.80
12,31,2014,12/31/2014,15.97
1,31,2015,1/31/2015,65.40
2,28,2015,2/28/2015,128.27
3,31,2015,3/31/2015,130.49
4,30,2015,4/30/2015,29.03
5,31,2015,5/31/2015,5.36
6,30,2015,6/30/2015,12.86
7,31,2015,7/31/2015,13.43
8,31,2015,8/31/2015,9.96
9,30,2015,9/30/2015,11.24
10,31,2015,10/31/2015,16.15
11,30,2015,11/30/2015,41.10
12,31,2015,12/31/2015,20.75
1,31,2016,1/31/2016,47.96
2,28,2016,2/28/2016,39.51
3,31,2016,3/31/2016,14.66
4,30,2016,4/30/2016,20.19
5,31,2016,5/31/2016,22.58
6,30,2016,6/30/2016,13.71
7,31,2016,7/31/2016,13.62
8,31,2016,8/31/2016,6.00
9,30,2016,9/30/2016,21.50
10,31,2016,10/31/2016,13.43
11,30,2016,11/30/2016,20.15
12,31,2016,12/31/2016,24.78
1,31,2017,1/31/2017,34.34
2,28,2017,2/28/2017,40.79
3,31,2017,3/31/2017,21.08
4,30,2017,4/30/2017,33.27
5,31,2017,5/31/2017,14.03
6,30,2017,6/30/2017,11.78
7,31,2017,7/31/2017,14.89
8,31,2017,8/31/2017,10.96
9,30,2017,9/30/2017,14.41
10,31,2017,10/31/2017,16.15
11,30,2017,11/30/2017,24.78
12,31,2017,12/31/2017,16.71
1,31,2018,1/31/2018,63.64
2,28,2018,2/28/2018,33.06
3,31,2018,3/31/2018,20.34
4,30,2018,4/30/2018,21.16
5,31,2018,5/31/2018,22.54
6,30,2018,6/30/2018,5.38
7,31,2018,7/31/2018,9.58
8,31,2018,8/31/2018,10.96
9,30,2018,9/30/2018,6.27
10,31,2018,10/31/2018,21.31
11,30,2018,11/30/2018,80.64
12,31,2018,12/31/2018,60.46
